"V4","V5","V6"
5173.099,4014.285,-1069.626
5592.272,2102.934,-1074.384
6042.976,19.113,-1093.695
5169.336,4004.966,720.516
5587.1,2078.047,730.551
6035.519,-0.128,742.264
5165.162,3999.106,2170.678
5579.79,2079.019,2151.764
6027.92,-1.775,2138.109
2457.298,-2619.346,-1121.672
-818.518,-3324.187,-1124.346
2441.83,-2622.158,369.976
-826.809,-3327.907,332.623
2429.392,-2623.639,1588.877
939.411,-2939.623,1198.258
-840.781,-3323.463,1595.396
-7093.524,-2357.898,679.271
-7857.11,1206.824,-1109.238
-7949.583,1594.802,654.407
-7870.1,1190.645,2102.055
